t=2026-07-14T08:05:44-0400 lvl=info msg="no configuration paths supplied"
t=2026-07-14T08:05:44-0400 lvl=info msg="using configuration at default config path" path=C:\\Users\\YMatos\\AppData\\Local\\ngrok\\ngrok.yml
t=2026-07-14T08:05:44-0400 lvl=info msg="open config file" path=C:\\Users\\YMatos\\AppData\\Local\\ngrok\\ngrok.yml err=nil
t=2026-07-14T08:05:44-0400 lvl=info msg="FIPS 140 mode" enabled=false
t=2026-07-14T08:05:44-0400 lvl=info msg="starting web service" obj=web addr=127.0.0.1:4040 allow_hosts=[]
t=2026-07-14T08:10:49-0400 lvl=info msg="join connections" obj=join id=b68efb313bde l=[::1]:3000 r=152.166.159.240:54243
t=2026-07-14T08:10:49-0400 lvl=info msg="join connections" obj=join id=7475e87bad06 l=[::1]:3000 r=152.166.159.240:54243
t=2026-07-14T08:10:49-0400 lvl=info msg="join connections" obj=join id=6faa7c02e6d4 l=[::1]:3000 r=152.166.159.240:54243
t=2026-07-14T08:10:49-0400 lvl=info msg="join connections" obj=join id=32c2e9b201dc l=[::1]:3000 r=152.166.159.240:54243
t=2026-07-14T08:10:49-0400 lvl=info msg="join connections" obj=join id=bfa193e09936 l=[::1]:3000 r=152.166.159.240:54243
t=2026-07-14T08:10:49-0400 lvl=info msg="join connections" obj=join id=793c413db1e0 l=[::1]:3000 r=152.166.159.240:54243
t=2026-07-14T08:10:49-0400 lvl=info msg="join connections" obj=join id=c91e81c6c4df l=[::1]:3000 r=152.166.159.240:54243
t=2026-07-14T08:10:49-0400 lvl=info msg="join connections" obj=join id=3c381df6e3b5 l=[::1]:3000 r=152.166.159.240:54243
t=2026-07-14T08:10:49-0400 lvl=info msg="join connections" obj=join id=c924f59d590f l=[::1]:3000 r=152.166.159.240:54243
t=2026-07-14T08:10:49-0400 lvl=info msg="join connections" obj=join id=6d8f9978937a l=[::1]:3000 r=152.166.159.240:54243
t=2026-07-14T08:10:49-0400 lvl=info msg="join connections" obj=join id=d290bd932e24 l=[::1]:3000 r=152.166.159.240:54243
t=2026-07-14T08:10:49-0400 lvl=info msg="join connections" obj=join id=1774f60f2a0e l=[::1]:3000 r=152.166.159.240:54243
t=2026-07-14T08:10:49-0400 lvl=info msg="join connections" obj=join id=3410b77bfa8c l=[::1]:3000 r=152.166.159.240:54243
t=2026-07-14T08:10:49-0400 lvl=info msg="join connections" obj=join id=a829efce1b72 l=[::1]:3000 r=152.166.159.240:54243
t=2026-07-14T08:10:49-0400 lvl=info msg="join connections" obj=join id=3d2c3690045a l=[::1]:3000 r=152.166.159.240:54243
t=2026-07-14T08:10:49-0400 lvl=info msg="join connections" obj=join id=91aa8cb69c84 l=[::1]:3000 r=152.166.159.240:54243
t=2026-07-14T08:10:49-0400 lvl=info msg="join connections" obj=join id=fdcae51b706e l=[::1]:3000 r=152.166.159.240:54263
t=2026-07-14T08:10:51-0400 lvl=info msg="join connections" obj=join id=28d73253d30e l=[::1]:3000 r=152.166.159.240:54265
t=2026-07-14T08:10:52-0400 lvl=info msg="join connections" obj=join id=b5044c8bac18 l=[::1]:3000 r=181.36.78.109:8630
t=2026-07-14T08:10:52-0400 lvl=info msg="join connections" obj=join id=5787553491c7 l=[::1]:3000 r=152.166.159.240:54267
t=2026-07-14T08:10:54-0400 lvl=info msg="join connections" obj=join id=4256489a96d5 l=[::1]:3000 r=152.166.159.240:54269
t=2026-07-14T08:10:55-0400 lvl=info msg="join connections" obj=join id=d93aef516a15 l=[::1]:3000 r=152.166.159.240:54271
t=2026-07-14T08:10:57-0400 lvl=info msg="join connections" obj=join id=082a6bdbf925 l=[::1]:3000 r=152.166.159.240:54273
t=2026-07-14T08:10:59-0400 lvl=info msg="join connections" obj=join id=f7aa35c9b0b6 l=[::1]:3000 r=181.36.78.109:9213
t=2026-07-14T08:11:03-0400 lvl=info msg="join connections" obj=join id=a0f76e05760a l=[::1]:3000 r=152.166.159.240:54275
t=2026-07-14T08:11:08-0400 lvl=info msg="join connections" obj=join id=2e0d0d149a31 l=[::1]:3000 r=152.166.159.240:54277
t=2026-07-14T08:11:09-0400 lvl=info msg="join connections" obj=join id=de28a24bebc6 l=[::1]:3000 r=181.36.78.109:12999
t=2026-07-14T08:11:14-0400 lvl=info msg="join connections" obj=join id=17d9dfc99c6e l=[::1]:3000 r=152.166.159.240:54279
t=2026-07-14T08:11:17-0400 lvl=info msg="join connections" obj=join id=59c136a85f21 l=[::1]:3000 r=152.166.159.240:54243
t=2026-07-14T08:11:17-0400 lvl=info msg="join connections" obj=join id=92c5787d7fb0 l=[::1]:3000 r=152.166.159.240:54243
t=2026-07-14T08:11:17-0400 lvl=info msg="join connections" obj=join id=548b5f2a3f43 l=[::1]:3000 r=152.166.159.240:54243
t=2026-07-14T08:11:17-0400 lvl=info msg="join connections" obj=join id=dd85e2c37234 l=[::1]:3000 r=152.166.159.240:54243
t=2026-07-14T08:11:17-0400 lvl=info msg="join connections" obj=join id=e4b63f6802c6 l=[::1]:3000 r=152.166.159.240:54243
t=2026-07-14T08:11:17-0400 lvl=info msg="join connections" obj=join id=27e90b5ae759 l=[::1]:3000 r=152.166.159.240:54243
t=2026-07-14T08:11:17-0400 lvl=info msg="join connections" obj=join id=3bdf9575bfb9 l=[::1]:3000 r=152.166.159.240:54243
t=2026-07-14T08:11:17-0400 lvl=info msg="join connections" obj=join id=5be531f9161e l=[::1]:3000 r=152.166.159.240:54243
t=2026-07-14T08:11:17-0400 lvl=info msg="join connections" obj=join id=88099f5259de l=[::1]:3000 r=152.166.159.240:54243
t=2026-07-14T08:11:17-0400 lvl=info msg="join connections" obj=join id=9aab592ec7c4 l=[::1]:3000 r=152.166.159.240:54243
t=2026-07-14T08:11:17-0400 lvl=info msg="join connections" obj=join id=671f4e853cfa l=[::1]:3000 r=152.166.159.240:54243
t=2026-07-14T08:11:17-0400 lvl=info msg="join connections" obj=join id=a48256d780b9 l=[::1]:3000 r=152.166.159.240:54243
t=2026-07-14T08:11:17-0400 lvl=info msg="join connections" obj=join id=b43eb1848400 l=[::1]:3000 r=152.166.159.240:54243
t=2026-07-14T08:11:17-0400 lvl=info msg="join connections" obj=join id=7131e856ed7a l=[::1]:3000 r=152.166.159.240:54243
t=2026-07-14T08:11:17-0400 lvl=info msg="join connections" obj=join id=af4b5dd8c113 l=[::1]:3000 r=152.166.159.240:54243
t=2026-07-14T08:11:17-0400 lvl=info msg="join connections" obj=join id=16bd3a196295 l=[::1]:3000 r=152.166.159.240:54243
t=2026-07-14T08:11:17-0400 lvl=info msg="join connections" obj=join id=ac6d428f44b2 l=[::1]:3000 r=152.166.159.240:54243
t=2026-07-14T08:11:17-0400 lvl=info msg="join connections" obj=join id=a7af1049ab34 l=[::1]:3000 r=152.166.159.240:54243
